Date,Mean,Median,Percentile_75,Percentile_25
2020-06-15,28.25,26.5,32.75,21.625
2020-06-16,26.741666666666664,24.0,31.25,20.1
2020-06-17,29.745833333333334,30.0,34.0,23.75
2020-06-18,25.789583333333336,25.0,30.0,22.0
2020-06-19,27.304255319148936,29.0,31.0,21.0
2020-06-20,18.962500000000002,17.55,24.0,15.0
2020-06-21,18.054166666666667,16.05,24.0,14.0
2020-06-22,27.683333333333334,26.0,31.0,22.9
2020-06-23,31.40212765957447,31.0,36.5,26.0
2020-06-24,34.4063829787234,32.0,40.2,28.5
2020-06-25,30.635416666666668,29.35,38.25,24.0
2020-06-26,26.337500000000002,24.8,30.0,22.3
2020-06-27,25.62291666666667,24.0,28.15,22.0
2020-06-28,24.052083333333332,24.0,25.0,21.975
2020-06-29,27.891666666666666,26.0,32.175,23.6
2020-06-30,39.53541666666667,37.0,50.75,25.0
2020-07-01,33.71875,30.0,40.0,24.8
2020-07-02,29.758333333333336,30.0,34.2,25.0
2020-07-03,31.733333333333334,31.0,38.0,24.375
2020-07-04,22.302083333333332,21.1,25.0,20.0
2020-07-05,21.489583333333332,20.0,23.175,18.475
2020-07-06,27.522222222222222,25.0,33.3,20.0
2020-07-07,27.976744186046513,28.0,34.9,22.5
2020-07-08,37.49791666666667,34.0,47.75,24.0
2020-07-09,32.87291666666667,30.0,41.0,24.075000000000003
2020-07-10,24.85625,23.6,30.0,20.0
2020-07-11,21.714583333333334,21.0,25.0,18.0
2020-07-12,19.364583333333332,18.0,22.424999999999997,15.9
2020-07-13,33.86808510638298,30.0,41.0,24.1
2020-07-14,29.56808510638298,28.0,36.9,21.25
2020-07-15,38.154347826086955,34.5,49.35,25.075
2020-07-16,42.572916666666664,40.0,53.65,30.0
2020-07-17,44.51666666666667,41.5,57.25,31.0
2020-07-18,38.40212765957447,35.0,45.0,30.0
2020-07-19,41.62083333333333,39.95,48.375,34.224999999999994
2020-07-20,54.84375,51.25,70.5,39.75
2020-07-21,56.87708333333333,51.75,70.75,41.0
